fecha,loteria,numero
2026-08-19,Astro Luna,0779
2026-08-19,Astro Sol,7845
2026-08-19,Cafeterito Día,1142
2026-08-19,Cafeterito Noche,3087
2026-08-19,Chontico Millonario,6075
2026-08-19,Chontico Noche,1864
2026-08-19,Dorado Mañana,9160
2026-08-19,Dorado Tarde,7261
2026-08-19,El Motilon 1,2868
2026-08-19,El Motilon 2,5457
2026-08-19,El Pijao de Oro,2380
2026-08-19,El saman de la suerte,9311
2026-08-19,La Antioqueñita 1,4727
2026-08-19,La Antioqueñita 2,1751
2026-08-19,La Caribeña 1,6625
2026-08-19,La Caribeña 2,6444
2026-08-19,La Culona Día,4961
2026-08-19,La Culona Noche,2757
2026-08-19,La Fantastica 1,1653
2026-08-19,La Fantastica 2,0838
2026-08-19,Manizales,1725
2026-08-19,Meta,6086
2026-08-19,Paisita 1,4819
2026-08-19,Paisita 2,4190
2026-08-19,Pick 3 Día,0670
2026-08-19,Pick 3 Noche,0160
2026-08-19,Pick 4 Día,8524
2026-08-19,Pick 4 Noche,6814
2026-08-19,Sinuano Día,2409
2026-08-19,Sinuano Noche,9516
2026-08-19,Valle,5201
