fecha,loteria,numero
2026-08-15,Astro Luna,9049
2026-08-15,Astro Sol,5728
2026-08-15,Boyacá,2885
2026-08-15,Cafeterito Día,3985
2026-08-15,Cafeterito Noche,3868
2026-08-15,Cauca,8215
2026-08-15,Chontico Millonario,4100
2026-08-15,Chontico Noche,6251
2026-08-15,Dorado Mañana,8966
2026-08-15,Dorado Noche,3282
2026-08-15,Dorado Tarde,6984
2026-08-15,El Motilon 1,6555
2026-08-15,El Motilon 2,1963
2026-08-15,El Pijao de Oro,4364
2026-08-15,El saman de la suerte,2181
2026-08-15,Extra de Colombia - Quindio,5803
2026-08-15,La Antioqueñita 1,1836
2026-08-15,La Antioqueñita 2,7549
2026-08-15,La Caribeña 1,6998
2026-08-15,La Caribeña 2,2881
2026-08-15,La Culona Día,7254
2026-08-15,La Culona Noche,5310
2026-08-15,La Fantastica 1,0657
2026-08-15,La Fantastica 2,0453
2026-08-15,Paisita 1,4736
2026-08-15,Paisita 2,0391
2026-08-15,Paisita 3,3417
2026-08-15,Pick 3 Día,0182
2026-08-15,Pick 3 Noche,0909
2026-08-15,Pick 4 Día,1366
2026-08-15,Pick 4 Noche,5921
2026-08-15,Sinuano Día,6603
2026-08-15,Sinuano Noche,3457
