fecha,loteria,numero
2026-09-01,Astro Luna,7032
2026-09-01,Astro Sol,3227
2026-09-01,Cafeterito Día,2635
2026-09-01,Cafeterito Noche,6358
2026-09-01,Chontico Millonario,3628
2026-09-01,Chontico Noche,9362
2026-09-01,Cruz Roja,7132
2026-09-01,Dorado Mañana,5555
2026-09-01,Dorado Noche,3251
2026-09-01,Dorado Tarde,2859
2026-09-01,El Motilon 1,8609
2026-09-01,El Motilon 2,6098
2026-09-01,El Pijao de Oro,8957
2026-09-01,El saman de la suerte,9918
2026-09-01,Huila,2876
2026-09-01,La Antioqueñita 1,7959
2026-09-01,La Antioqueñita 2,2695
2026-09-01,La Caribeña 1,2268
2026-09-01,La Caribeña 2,3203
2026-09-01,La Culona Día,5206
2026-09-01,La Culona Noche,2193
2026-09-01,La Fantastica 1,9008
2026-09-01,La Fantastica 2,9212
2026-09-01,Paisita 1,6339
2026-09-01,Paisita 2,7424
2026-09-01,Pick 3 Día,0630
2026-09-01,Pick 3 Noche,0409
2026-09-01,Pick 4 Día,9769
2026-09-01,Pick 4 Noche,2511
2026-09-01,Sinuano Día,2942
2026-09-01,Sinuano Noche,0154
