fecha,loteria,numero
2026-09-10,Astro Luna,8387
2026-09-10,Astro Sol,6395
2026-09-10,Bogotá,3334
2026-09-10,Cafeterito Día,2468
2026-09-10,Cafeterito Noche,4233
2026-09-10,Chontico Millonario,8023
2026-09-10,Chontico Noche,0279
2026-09-10,Dorado Mañana,9980
2026-09-10,Dorado Noche,5095
2026-09-10,Dorado Tarde,4758
2026-09-10,El Motilon 1,6478
2026-09-10,El Motilon 2,7793
2026-09-10,El Pijao de Oro,7231
2026-09-10,El saman de la suerte,9059
2026-09-10,La Antioqueñita 1,2905
2026-09-10,La Antioqueñita 2,4728
2026-09-10,La Caribeña 1,3262
2026-09-10,La Caribeña 2,1147
2026-09-10,La Culona Día,5945
2026-09-10,La Culona Noche,5909
2026-09-10,La Fantastica 1,5992
2026-09-10,La Fantastica 2,0966
2026-09-10,Paisita 1,9931
2026-09-10,Paisita 2,5525
2026-09-10,Pick 3 Día,0089
2026-09-10,Pick 3 Noche,0369
2026-09-10,Pick 4 Día,2552
2026-09-10,Pick 4 Noche,1312
2026-09-10,Quindío,9799
2026-09-10,Sinuano Día,0189
2026-09-10,Sinuano Noche,8102
2026-09-10,Super Chontico Noche Millonario,8126
